1,BTCUSDT
1027,ETHUSDT
1839,BNBUSDT
52,XRPUSDT
3408,USDCUSDT
2010,ADAUSDT
74,DOGEUSDT
5426,SOLUSDT
1958,TRXUSDT
11419,TONUSDT
6636,DOTUSDT
3890,MATICUSDT
2,LTCUSDT
1831,BCHUSDT
5805,AVAXUSDT
1975,LINKUSDT
512,XLMUSDT
328,XMRUSDT
7083,UNIUSDT
3794,ATOMUSDT
1321,ETCUSDT
4642,HBARUSDT
8916,ICPUSDT
2280,FILUSDT
8000,LDOUSDT
3635,CROUSDT
21794,APTUSDT
3155,QNTUSDT
11841,ARBUSDT
3077,VETUSDT
1518,MKRUSDT
6535,NEARUSDT
11840,OPUSDT
7278,AAVEUSDT
6719,GRTUSDT
4030,ALGOUSDT
2011,XTZUSDT
4847,STXUSDT
1765,EOSUSDT
6783,AXSUSDT
6892,EGLDUSDT
6210,SANDUSDT
2416,THETAUSDT
2586,SNXUSDT
10603,IMXUSDT
3602,BSVUSDT
7226,INJUSDT
3513,FTMUSDT
1966,MANAUSDT
5690,RNDRUSDT
4157,RUNEUSDT
1376,NEOUSDT
4846,KAVAUSDT
18876,APEUSDT
4705,PAXGUSDT
2943,RPLUSDT
4558,FLOWUSDT
4066,CHZUSDT
4256,KLAYUSDT
7334,CFXUSDT
1437,ZECUSDT
6953,FXSUSDT
6538,CRVUSDT
20947,SUIUSDT
7080,GALAUSDT
8646,MINAUSDT
5964,TWTUSDT
11156,DYDXUSDT
12885,ASTRUSDT
5692,COMPUSDT
11857,GMXUSDT
131,DASHUSDT
7950,FLRUSDT
7501,WOOUSDT
5632,ARUSDT
7653,ROSEUSDT
2469,ZILUSDT
2130,ENJUSDT
1697,BATUSDT
8104,1INCHUSDT
1934,LRCUSDT
8119,SFPUSDT
23149,SEIUSDT
2424,AGIXUSDT
1684,QTUMUSDT
13855,ENSUSDT
873,XEMUSDT
5567,CELOUSDT
5665,HNTUSDT
8536,MASKUSDT
9903,CVXUSDT
3773,FETUSDT
3911,OCEANUSDT
3640,LPTUSDT
2577,RVNUSDT
3783,ANKRUSDT
5488,JSTUSDT
8425,JASMYUSDT
2682,HOTUSDT
5864,YFIUSDT
5728,BALUSDT
18069,GMTUSDT
1680,ANTUSDT
23121,BLURUSDT
1274,WAVESUSDT
7455,AUDIOUSDT
1455,GLMUSDT
5034,KSMUSDT
2099,ICXUSDT
13502,WLDUSDT
17751,TUSDT
1042,SCUSDT
12999,SSVUSDT
8719,ILVUSDT
4279,SXPUSDT
21296,ETHWUSDT
1896,ZRXUSDT
2566,ONTUSDT
2777,IOTXUSDT
4679,BANDUSDT
9543,BICOUSDT
6758,SUSHIUSDT
2405,IOSTUSDT
6836,GLMRUSDT
2570,TOMOUSDT
3945,ONEUSDT
13523,MCUSDT
5647,KDAUSDT
14783,MAGICUSDT
4948,CKBUSDT
109,DGBUSDT
18934,STGUSDT
5691,SKLUSDT
5617,UMAUSDT
1698,ZENUSDT
11877,GALUSDT
7737,API3USDT
5444,CTSIUSDT
23254,COREUSDT
9444,KNCUSDT
3964,RSRUSDT
1772,STORJUSDT
11396,JOEUSDT
6958,ACHUSDT
3814,CELRUSDT
24613,EDUUSDT
20396,KASUSDT
9481,PENDLEUSDT
1567,XNOUSDT
10903,C98USDT
7429,LQTYUSDT
1788,MTLUSDT
1637,RLCUSDT
21846,IDUSDT
22461,HFTUSDT
25028,ORDIUSDT
1816,CVCUSDT
6843,RADUSDT
21106,RDNTUSDT
2780,NKNUSDT
2071,REQUSDT
7232,ALPHAUSDT
24781,CYBERUSDT
10052,GTCUSDT
3978,CHRUSDT
1808,OMGUSDT
1727,BNTUSDT
1886,DENTUSDT
7672,UNFIUSDT
5824,SLPUSDT
10688,YGGUSDT
5026,OXTUSDT
7102,LINAUSDT
1586,ARKUSDT
27565,ARKMUSDT
4134,AKROUSDT
18037,MAVUSDT
11232,HIGHUSDT
4039,ARPAUSDT
693,XVGUSDT
5604,SCRTUSDT
2505,BLZUSDT
23635,BNXUSDT
17081,LOOKSUSDT
7242,COREUSDT
3992,COTIUSDT
21351,SWEATUSDT
10529,SUNUSDT
4807,CTKUSDT
23037,HIFIUSDT
14806,PEOPLEUSDT
7224,DODOUSDT
2297,STMXUSDT
4092,DUSKUSDT
2539,RENUSDT
9421,FORTHUSDT
11289,SPELLUSDT
5117,OGNUSDT
6731,TONUSDT
6928,BELUSDT
22764,HOOKUSDT
7150,FLMUSDT
5198,CTCUSDT
8766,ALICEUSDT
7859,BADGERUSDT
17917,RSS3USDT
4944,TRBUSDT
9119,TLMUSDT
18860,ZBCUSDT
11568,AGLDUSDT
1817,VGXUSDT
20873,LEVERUSDT
6951,REEFUSDT
11374,DARUSDT
7725,TRUUSDT
2856,CEEKUSDT
10188,ATAUSDT
3928,IDEXUSDT
2348,MDTUSDT
8602,AUCTIONUSDT
7064,BAKEUSDT
10746,BSWUSDT
10180,GMTUSDT
2398,KEYUSDT
13969,PHBUSDT
6833,LITUSDT
14556,BOBAUSDT
8707,ALPACAUSDT
18679,XCNUSDT
5309,OGUSDT
5957,YFIIUSDT
2081,AMBUSDT
2289,GFTUSDT
19778,FITFIUSDT
